Ano,Código_IBGE,Magreza_total_%
2008,5106174,0.0
2008,4117206,3.54
2008,5106190,6.25
2008,5106240,8.11
2008,5106257,3.7199999999999998
2008,5106273,3.92
2008,5106265,3.21
2008,2206951,2.5
2008,5106281,0.0
2008,5106299,5.92
2008,5106307,4.470000000000001
2008,2409605,5.64
2008,5106422,5.42
2008,5106455,3.1100000000000003
2008,5106505,6.1899999999999995
2008,5106653,4.48
2008,5106703,33.85
2008,5106752,6.0
2008,5106778,2.49
2008,5106802,2.7
2008,5106828,2.63
2008,5106851,3.42
2008,5107008,1.35
2008,5107040,6.23
2008,5107065,0.0
2008,5107156,0.0
2008,5107180,2.13
2008,5107198,7.529999999999999
2008,1200401,3.01
2008,5107578,6.06
2008,5107602,5.77
2008,5107701,2.9699999999999998
2008,5107750,2.5300000000000002
2008,5107248,5.26
2008,5107743,5.77
2008,5107768,7.14
2008,2612802,2.14
2008,5107263,6.17
2008,5107792,0.0
2008,5107800,4.78
2008,5107859,3.79
2008,5107297,1.3
2008,5107305,4.29
2008,5107354,4.29
2008,5107107,2.73
2008,5107404,5.51
2008,5107875,4.08
2008,5107883,7.89
2008,5107909,4.99
2008,5107925,4.17
2008,5107941,3.8200000000000003
2008,5107958,3.64
2008,5108006,3.6
2008,5108055,6.130000000000001
2008,5108105,2.53
2008,5108204,2.8
2008,5108303,4.38
2008,5108352,6.42
2008,2211407,6.859999999999999
2008,5108501,11.71
2008,5105507,3.25
2008,5108600,8.39
2008,2200202,7.220000000000001
2008,2700201,3.64
2008,2700300,10.05
2008,2700409,0.0
2008,2700508,4.62
2008,2501708,4.92
2008,2201507,2.95
2008,1501402,3.62
2008,2700904,6.76
2008,2701001,6.49
2008,2701100,3.29
2008,2701209,0.0
2008,2701308,1.3800000000000001
2008,2701357,4.42
2008,2701407,5.41
2008,2401305,4.27
2008,2701605,34.42
2008,2701704,6.72
2008,2701803,0.0
2008,2701902,5.24
2008,2702009,6.199999999999999
2008,2702108,0.0
2008,2702207,11.74
2008,2702306,4.45
2008,2702355,2.38
2008,2702405,4.71
2008,2702504,5.24
2008,2702553,4.35
2008,2702603,5.99
2008,2702702,5.510000000000001
2008,2702801,7.609999999999999
2008,2702900,24.939999999999998
2008,2703007,0.0
2008,2703106,3.55
2008,2703205,4.83
2008,2703304,6.41
2008,2703403,3.0300000000000002
2008,2703502,8.81
2008,2703601,7.56
2008,2703700,5.52
2008,2703759,11.629999999999999
2008,2703809,2.87
2008,2406155,60.82
2008,2704005,5.58
2008,2704104,5.66
2008,2704203,5.52
2008,2704302,4.44
2008,2704401,6.26
2008,2704906,20.0
2008,2704500,0.0
2008,2704609,6.58
2008,2704708,5.51
2008,2704807,3.83
2008,2705002,2.56
2008,2705101,5.859999999999999
2008,2705200,9.09
2008,2705309,6.970000000000001
2008,2705408,4.9399999999999995
2008,2705507,4.140000000000001
2008,2705606,47.589999999999996
2008,2705705,4.99
2008,2705804,37.74
2008,2705903,4.63
2008,2706000,2.67
2008,2408508,5.46
2008,2706208,0.0
2008,2706307,7.4399999999999995
2008,2706406,4.5
2008,2706422,4.94
2008,2706448,2.98
2008,2706505,6.4
2008,2706604,5.15
2008,2706703,5.1
2008,2706802,0.0
2008,2511509,5.85
2008,2707008,10.17
2008,2707107,1.67
2008,2707206,6.0200000000000005
2008,2707305,3.98
2008,2707404,9.58
2008,2707503,6.69
2008,2707602,4.28
2008,2707701,25.0
2008,2707800,5.77
2008,2707909,11.530000000000001
2008,2708006,1.57
2008,2708105,4.29
2008,2708204,4.8
2008,2708303,12.530000000000001
2008,2708402,5.1
2008,2708501,5.2
2008,2708600,5.16
2008,2708709,4.5
2008,2708808,0.15000000000000002
2008,2708907,4.99
2008,2708956,25.0
2008,2709004,6.21
2008,2709103,12.9
2008,2709152,41.0
2008,2709202,10.77
2008,2709301,6.65
2008,2414902,4.8
2008,2900108,0.0
2008,2900207,4.4
2008,2900306,0.33
2008,2900355,7.869999999999999
2008,2900405,6.42
2008,2900603,5.09
2008,2900702,9.07
2008,2900801,0.0
2008,2900900,5.97
2008,2901007,3.71
2008,2901106,5.13
2008,2901155,5.62
2008,2901205,6.09
2008,2901304,7.01
2008,2901353,0.0
2008,2901403,6.64
2008,2901502,6.3
2008,2901601,0.0
2008,2901700,3.83
2008,2901809,0.0
2008,2901908,2.86
2008,2901957,50.0
2008,2902054,5.04
2008,2902005,2.52
2008,2902104,5.18
2008,2902203,5.41
2008,2902252,4.74
2008,2902302,6.16
2008,2902401,6.42
2008,2902500,46.4
2008,2902609,6.970000000000001
2008,2902658,2.2
2008,2902708,6.6000000000000005
2008,2902807,3.97
2008,2902906,5.48
2008,2903003,6.32
2008,2903102,4.18
2008,2903201,7.72
2008,2903235,5.79
2008,2903300,3.24
2008,2903276,6.56
2008,2903409,4.699999999999999
2008,2903508,7.0600000000000005
2008,2903607,6.359999999999999
2008,2903706,4.41
2008,2903805,33.9
2008,2903904,4.96
2008,2903953,3.87
2008,2904001,4.87
2008,1501600,3.23
2008,2904100,11.63
2008,2904209,8.65
2008,2904308,3.9699999999999998
2008,2904407,4.35
2008,2904506,8.690000000000001
2008,2904605,5.25
2008,2904704,4.15
2008,2904753,3.63
2008,2904803,3.57
2008,2904852,5.959999999999999
2008,2904902,5.27
