Código_UF,Estado,UF,Código_IBGE,Município,Região,Latitude,Longitude
13,Amazonas,AM,1303304,Novo Aripuanã,Norte,-5.119759,-60.374581
13,Amazonas,AM,1303403,Parintins,Norte,-2.634457,-56.731932
13,Amazonas,AM,1303502,Pauini,Norte,-7.712221,-66.999844
13,Amazonas,AM,1303536,Presidente Figueiredo,Norte,-2.048636,-60.023666
13,Amazonas,AM,1303569,Rio Preto da Eva,Norte,-2.699065,-59.701249
13,Amazonas,AM,1303601,Santa Isabel do Rio Negro,Norte,-0.416039,-65.01531
13,Amazonas,AM,1303700,Santo Antônio do Içá,Norte,-3.095443,-67.946279
13,Amazonas,AM,1303809,São Gabriel da Cachoeira,Norte,-0.124971,-67.081386
13,Amazonas,AM,1303908,São Paulo de Olivença,Norte,-3.465063,-68.946846
13,Amazonas,AM,1303957,São Sebastião do Uatumã,Norte,-2.571934,-57.870362
13,Amazonas,AM,1304005,Silves,Norte,-2.837261,-58.21052
13,Amazonas,AM,1304062,Tabatinga,Norte,-4.232735,-69.926337
13,Amazonas,AM,1304104,Tapauá,Norte,-5.623228,-63.187916
13,Amazonas,AM,1304203,Tefé,Norte,-3.348528,-64.710228
13,Amazonas,AM,1304237,Tonantins,Norte,-2.86261,-67.773548
13,Amazonas,AM,1304260,Uarini,Norte,-2.982706,-65.157862
13,Amazonas,AM,1304302,Urucará,Norte,-2.537073,-57.759025
13,Amazonas,AM,1304401,Urucurituba,Norte,-3.130433,-58.154916
14,Roraima,RR,1400027,Amajari,Norte,3.652387,-61.419432
14,Roraima,RR,1400050,Alto Alegre,Norte,2.98858,-61.307167
14,Roraima,RR,1400100,Boa Vista,Norte,2.820848,-60.671958
14,Roraima,RR,1400159,Bonfim,Norte,3.361382,-59.842724
14,Roraima,RR,1400175,Cantá,Norte,2.60994,-60.605827
14,Roraima,RR,1400209,Caracaraí,Norte,1.827598,-61.125389
14,Roraima,RR,1400233,Caroebe,Norte,0.88087,-59.69638
14,Roraima,RR,1400282,Iracema,Norte,2.166474,-61.051305
14,Roraima,RR,1400308,Mucajaí,Norte,2.448608,-60.919999
14,Roraima,RR,1400407,Normandia,Norte,3.879236,-59.629337
14,Roraima,RR,1400456,Pacaraima,Norte,4.479125,-61.147102
14,Roraima,RR,1400472,Rorainópolis,Norte,0.938731,-60.423646
14,Roraima,RR,1400506,São João da Baliza,Norte,0.951659,-59.913293
14,Roraima,RR,1400605,São Luiz,Norte,1.017061,-60.037172
14,Roraima,RR,1400704,Uiramutã,Norte,4.595369,-60.159886
15,Pará,PA,1500107,Abaetetuba,Norte,-1.721828,-48.878843
15,Pará,PA,1500131,Abel Figueiredo,Norte,-4.953001,-48.395849
15,Pará,PA,1500206,Acará,Norte,-1.40789525,-48.44680745
15,Pará,PA,1500305,Afuá,Norte,-0.153566,-50.387922
15,Pará,PA,1500347,Água Azul do Norte,Norte,-6.806488,-50.484967
15,Pará,PA,1500404,Alenquer,Norte,-1.946229,-54.738355
15,Pará,PA,1500503,Almeirim,Norte,-1.529038,-52.578811
15,Pará,PA,1500602,Altamira,Norte,-1.0664467,-48.3537856
15,Pará,PA,1500701,Anajás,Norte,-0.9859155,-49.939923
15,Pará,PA,1500800,Ananindeua,Norte,-1.374035,-48.401662
15,Pará,PA,1500859,Anapu,Norte,-3.466829,-51.205704
15,Pará,PA,1500909,Augusto Corrêa,Norte,-1.022933,-46.640403
15,Pará,PA,1500958,Aurora do Pará,Norte,-2.13232,-47.558436
15,Pará,PA,1501006,Aveiro,Norte,-1.400666,-48.4571664
15,Pará,PA,1501105,Bagre,Norte,-1.89945,-50.210384
15,Pará,PA,1501204,Baião,Norte,-1.3972039,-48.4592181
15,Pará,PA,1501253,Bannach,Norte,-7.35085,-50.406453
15,Pará,PA,1501303,Barcarena,Norte,-1.510794,-48.619068
15,Pará,PA,1501402,Belém,Norte,-1.45056,-48.4682
15,Pará,PA,1501451,Belterra,Norte,-2.636091,-54.937392
15,Pará,PA,1501501,Benevides,Norte,-1.355558,-48.252235
15,Pará,PA,1501576,Bom Jesus do Tocantins,Norte,-5.04718,-48.597836
15,Pará,PA,1501600,Bonito,Norte,-1.360572,-47.304991
15,Pará,PA,1501709,Bragança,Norte,-1.057425,-46.763523
15,Pará,PA,1501725,Brasil Novo,Norte,-3.305585,-52.539198
15,Pará,PA,1501758,Brejo Grande do Araguaia,Norte,-5.701145,-48.403731
15,Pará,PA,1501782,Breu Branco,Norte,-3.778507,-49.56848
15,Pará,PA,1501808,Breves,Norte,-1.68036,-50.479085
15,Pará,PA,1501907,Bujaru,Norte,-1.516924,-48.04107
15,Pará,PA,1501956,Cachoeira do Piriá,Norte,-1.759944,-46.544695
15,Pará,PA,1502004,Cachoeira do Arari,Norte,-1.014357,-48.962109
15,Pará,PA,1502103,Cametá,Norte,-2.242949,-49.497885
15,Pará,PA,1502152,Canaã dos Carajás,Norte,-6.529684,-49.851659
15,Pará,PA,1502202,Capanema,Norte,-1.193305,-47.182868
15,Pará,PA,1502301,Capitão Poço,Norte,-1.744716,-47.06385
15,Pará,PA,1502400,Castanhal,Norte,-1.292703,-47.92239
15,Pará,PA,1502509,Chaves,Norte,-1.3971663,-48.4600335
15,Pará,PA,1502608,Colares,Norte,-0.931984,-48.287378
15,Pará,PA,1502707,Conceição do Araguaia,Norte,-8.26969,-49.267686
15,Pará,PA,1502756,Concórdia do Pará,Norte,-1.992406,-47.945047
15,Pará,PA,1502764,Cumaru do Norte,Norte,-7.812267,-50.767768
15,Pará,PA,1502772,Curionópolis,Norte,-6.099044,-49.605904
15,Pará,PA,1502806,Curralinho,Norte,-1.813788,-49.798017
15,Pará,PA,1502855,Curuá,Norte,-1.887754,-55.116842
15,Pará,PA,1502905,Curuçá,Norte,-0.727679,-47.856568
15,Pará,PA,1502939,Dom Eliseu,Norte,-4.292811,-47.555908
15,Pará,PA,1502954,Eldorado do Carajás,Norte,-6.102925,-49.357249
15,Pará,PA,1503002,Faro,Norte,-1.446101,-48.491766
15,Pará,PA,1503044,Floresta do Araguaia,Norte,-7.559706,-49.703283
15,Pará,PA,1503077,Garrafão do Norte,Norte,-1.928226,-47.051316
15,Pará,PA,1503093,Goianésia do Pará,Norte,-3.8381,-49.097799
15,Pará,PA,1503101,Gurupá,Norte,-1.406325,-51.642746
15,Pará,PA,1503200,Igarapé-Açu,Norte,-1.128244,-47.619902
15,Pará,PA,1503309,Igarapé-Miri,Norte,-1.978521,-48.963483
15,Pará,PA,1503408,Inhangapi,Norte,-1.428374,-47.910861
15,Pará,PA,1503457,Ipixuna do Pará,Norte,-2.559214,-47.496546
15,Pará,PA,1503507,Irituia,Norte,-1.77056775,-47.438689749999995
15,Pará,PA,1503606,Itaituba,Norte,-4.262522,-55.987814
15,Pará,PA,1503705,Itupiranga,Norte,-5.133722,-49.332199
15,Pará,PA,1503754,Jacareacanga,Norte,-6.219652,-57.758625
15,Pará,PA,1503804,Jacundá,Norte,-4.446173,-49.115272
15,Pará,PA,1503903,Juruti,Norte,-2.157138,-56.090098
15,Pará,PA,1504000,Limoeiro do Ajuru,Norte,-1.895881,-49.382844
15,Pará,PA,1504059,Mãe do Rio,Norte,-2.045869,-47.552208
15,Pará,PA,1504109,Magalhães Barata,Norte,-0.794338,-47.598438
15,Pará,PA,1504208,Marabá,Norte,-5.346282,-49.10074
15,Pará,PA,1504307,Maracanã,Norte,-0.766658,-47.453782
15,Pará,PA,1504406,Marapanim,Norte,-0.713449,-47.698538
15,Pará,PA,1504422,Marituba,Norte,-1.359531,-48.33615
15,Pará,PA,1504455,Medicilândia,Norte,-3.443839,-52.888924
15,Pará,PA,1504505,Melgaço,Norte,-1.803202,-50.714927
15,Pará,PA,1504604,Mocajuba,Norte,-2.5835055000000002,-49.505637
15,Pará,PA,1504703,Moju,Norte,-1.889926,-48.766765
15,Pará,PA,1504752,Mojuí dos Campos,Norte,-2.682167,-54.642717
15,Pará,PA,1504802,Monte Alegre,Norte,-1.998911,-54.072769
15,Pará,PA,1504901,Muaná,Norte,-1.531744,-49.222357
15,Pará,PA,1504950,Nova Esperança do Piriá,Norte,-2.266309,-46.966162
15,Pará,PA,1504976,Nova Ipixuna,Norte,-4.9201785000000005,-49.0757925
15,Pará,PA,1505007,Nova Timboteua,Norte,-1.205243,-47.393578
15,Pará,PA,1505031,Novo Progresso,Norte,-7.037488,-55.41859
15,Pará,PA,1505064,Novo Repartimento,Norte,-4.251917,-49.952426
15,Pará,PA,1505106,Óbidos,Norte,-1.901072,-55.520812
15,Pará,PA,1505205,Oeiras do Pará,Norte,-2.00327175,-49.854692
15,Pará,PA,1505304,Oriximiná,Norte,-1.766999,-55.868285
15,Pará,PA,1505403,Ourém,Norte,-1.3998126,-48.4553976
15,Pará,PA,1505437,Ourilândia do Norte,Norte,-6.755329,-51.065794
15,Pará,PA,1505486,Pacajá,Norte,-3.835419,-50.639925
15,Pará,PA,1505494,Palestina do Pará,Norte,-5.742394,-48.318553
15,Pará,PA,1505502,Paragominas,Norte,-2.99564,-47.354894
15,Pará,PA,1505536,Parauapebas,Norte,-6.069685,-49.890328
15,Pará,PA,1505551,Pau D'Arco,Norte,-7.833115,-50.040444
15,Pará,PA,1505601,Peixe-Boi,Norte,-1.188574,-47.319481
15,Pará,PA,1505635,Piçarra,Norte,-6.447582,-48.86338
15,Pará,PA,1505650,Placas,Norte,-3.868953,-54.215435
15,Pará,PA,1505700,Ponta de Pedras,Norte,-1.395873,-48.866073
15,Pará,PA,1505809,Portel,Norte,-1.3992444,-48.4622356
15,Pará,PA,1505908,Porto de Moz,Norte,-1.750209,-52.235556
15,Pará,PA,1506005,Prainha,Norte,-2.43,-54.7
15,Pará,PA,1506104,Primavera,Norte,-0.940652,-47.116728
15,Pará,PA,1506112,Quatipuru,Norte,-0.894872,-47.004932
15,Pará,PA,1506138,Redenção,Norte,-8.025294,-50.031687
15,Pará,PA,1506161,Rio Maria,Norte,-7.313731,-50.046537
15,Pará,PA,1506187,Rondon do Pará,Norte,-4.775596500000001,-48.067727500000004
15,Pará,PA,1506195,Rurópolis,Norte,-4.101431,-54.908685
15,Pará,PA,1506203,Salinópolis,Norte,-0.625928,-47.344282
15,Pará,PA,1506302,Salvaterra,Norte,-1.3965952,-48.4566352
15,Pará,PA,1506351,Santa Bárbara do Pará,Norte,-1.226144,-48.295101
15,Pará,PA,1506401,Santa Cruz do Arari,Norte,-0.661019,-49.177139
15,Pará,PA,1506500,Santa Izabel do Pará,Norte,-1.296856,-48.160553
15,Pará,PA,1506559,Santa Luzia do Pará,Norte,-1.522005,-46.90207
15,Pará,PA,1506583,Santa Maria das Barreiras,Norte,-8.871016,-49.717126
15,Pará,PA,1506609,Santa Maria do Pará,Norte,-1.345548,-47.578298
15,Pará,PA,1506708,Santana do Araguaia,Norte,-9.335014,-50.337732
15,Pará,PA,1506807,Santarém,Norte,-2.438489,-54.699611
15,Pará,PA,1506906,Santarém Novo,Norte,-0.92839,-47.399996
15,Pará,PA,1507003,Santo Antônio do Tauá,Norte,-1.1523940000000001,-48.13001725
15,Pará,PA,1507102,São Caetano de Odivelas,Norte,-0.747293,-48.024622
15,Pará,PA,1507151,São Domingos do Araguaia,Norte,-5.5374795,-48.73271200000001
15,Pará,PA,1507201,São Domingos do Capim,Norte,-1.678933,-47.771782
15,Pará,PA,1507300,São Félix do Xingu,Norte,-6.638697,-51.978758
15,Pará,PA,1507409,São Francisco do Pará,Norte,-1.169399,-47.797259
15,Pará,PA,1507458,São Geraldo do Araguaia,Norte,-6.400167,-48.55338
15,Pará,PA,1507466,São João da Ponta,Norte,-0.852652,-47.92241
15,Pará,PA,1507474,São João de Pirabas,Norte,-0.77332,-47.177063
15,Pará,PA,1507508,São João do Araguaia,Norte,-5.3577595,-48.7899465
15,Pará,PA,1507607,São Miguel do Guamá,Norte,-1.61168,-47.475755
15,Pará,PA,1507706,São Sebastião da Boa Vista,Norte,-1.718288,-49.531996
15,Pará,PA,1507755,Sapucaia,Norte,-6.94135,-49.699388
15,Pará,PA,1507805,Senador José Porfírio,Norte,-2.593542,-51.948209
15,Pará,PA,1507904,Soure,Norte,-1.3998478,-48.4564099
15,Pará,PA,1507953,Tailândia,Norte,-2.936096,-48.952337
15,Pará,PA,1507961,Terra Alta,Norte,-1.039792,-47.90916
15,Pará,PA,1507979,Terra Santa,Norte,-2.104435,-56.487653
15,Pará,PA,1508001,Tomé-Açu,Norte,-2.416631,-48.152291
15,Pará,PA,1508035,Tracuateua,Norte,-1.076534,-46.903082
15,Pará,PA,1508050,Trairão,Norte,-4.700551,-55.997217
15,Pará,PA,1508084,Tucumã,Norte,-1.3795152,-48.45202
15,Pará,PA,1508100,Tucuruí,Norte,-3.773851,-49.67082
15,Pará,PA,1508126,Ulianópolis,Norte,-3.740304,-47.493775
15,Pará,PA,1508159,Uruará,Norte,-3.718538,-53.738549
15,Pará,PA,1508209,Vigia,Norte,-0.854603,-48.143287
15,Pará,PA,1508308,Viseu,Norte,-1.3995313,-48.4622356
15,Pará,PA,1508357,Vitória do Xingu,Norte,-2.883306,-52.011489
15,Pará,PA,1508407,Xinguara,Norte,-7.099851,-49.941663
16,Amapá,AP,1600055,Serra do Navio,Norte,0.901104,-52.00134
16,Amapá,AP,1600105,Amapá,Norte,2.053,-50.793
16,Amapá,AP,1600154,Pedra Branca do Amapari,Norte,0.777183,-51.952322
16,Amapá,AP,1600204,Calçoene,Norte,2.498176,-50.95395
16,Amapá,AP,1600212,Cutias,Norte,0.970863,-50.800061
16,Amapá,AP,1600238,Ferreira Gomes,Norte,0.858084,-51.1814
16,Amapá,AP,1600253,Itaubal,Norte,0.602752,-50.699874
16,Amapá,AP,1600279,Laranjal do Jari,Norte,-0.841999,-52.516
16,Amapá,AP,1600303,Macapá,Norte,0.040153,-51.056959
16,Amapá,AP,1600402,Mazagão,Norte,-0.116056,-51.286176
16,Amapá,AP,1600501,Oiapoque,Norte,3.843213,-51.83508
16,Amapá,AP,1600535,Porto Grande,Norte,0.702837,-51.404161
16,Amapá,AP,1600550,Pracuúba,Norte,1.742904,-50.784883
16,Amapá,AP,1600600,Santana,Norte,-0.030707,-51.178967
16,Amapá,AP,1600709,Tartarugalzinho,Norte,1.505239,-50.912313
16,Amapá,AP,1600808,Vitória do Jari,Norte,-0.925801,-52.424515
17,Tocantins,TO,1700251,Abreulândia,Norte,-9.622153,-49.155834
17,Tocantins,TO,1700301,Aguiarnópolis,Norte,-6.560045,-47.472119
17,Tocantins,TO,1700350,Aliança do Tocantins,Norte,-11.305958,-48.938938
17,Tocantins,TO,1700400,Almas,Norte,-11.568131,-47.17028
17,Tocantins,TO,1700707,Alvorada,Norte,-12.480429,-49.11933
17,Tocantins,TO,1701002,Ananás,Norte,-6.366305,-48.080238
17,Tocantins,TO,1701051,Angico,Norte,-6.389373,-47.865672
17,Tocantins,TO,1701101,Aparecida do Rio Negro,Norte,-9.951349,-47.977379
17,Tocantins,TO,1701309,Aragominas,Norte,-7.16541,-48.525488
17,Tocantins,TO,1701903,Araguacema,Norte,-8.806739,-49.556097
17,Tocantins,TO,1702000,Araguaçu,Norte,-12.92461,-49.829813
17,Tocantins,TO,1702109,Araguaína,Norte,-7.193241,-48.20186
17,Tocantins,TO,1702158,Araguanã,Norte,-6.579911,-48.642848
17,Tocantins,TO,1702208,Araguatins,Norte,-5.652938,-48.116192
17,Tocantins,TO,1702307,Arapoema,Norte,-7.6573055,-49.0648875
17,Tocantins,TO,1702406,Arraias,Norte,-12.928779,-46.943723
17,Tocantins,TO,1702554,Augustinópolis,Norte,-5.466227,-47.889752
17,Tocantins,TO,1702703,Aurora do Tocantins,Norte,-12.71045,-46.407604
17,Tocantins,TO,1702901,Axixá do Tocantins,Norte,-5.612747,-47.77007
17,Tocantins,TO,1703008,Babaçulândia,Norte,-7.203435,-47.761613
17,Tocantins,TO,1703057,Bandeirantes do Tocantins,Norte,-7.76357,-48.579148
17,Tocantins,TO,1703073,Barra do Ouro,Norte,-7.711378,-47.674393
17,Tocantins,TO,1703107,Barrolândia,Norte,-9.837246,-48.726435
17,Tocantins,TO,1703206,Bernardo Sayão,Norte,-7.879424,-48.896891
17,Tocantins,TO,1703305,Bom Jesus do Tocantins,Norte,-5.04718,-48.597836
17,Tocantins,TO,1703602,Brasilândia do Tocantins,Norte,-8.388662,-48.484273
17,Tocantins,TO,1703701,Brejinho de Nazaré,Norte,-11.013826,-48.564626
17,Tocantins,TO,1703800,Buriti do Tocantins,Norte,-5.318744,-48.225661
17,Tocantins,TO,1703826,Cachoeirinha,Norte,-6.118647,-47.920889
17,Tocantins,TO,1703842,Campos Lindos,Norte,-7.97406,-46.802388
17,Tocantins,TO,1703867,Cariri do Tocantins,Norte,-11.888273,-49.160422
17,Tocantins,TO,1703883,Carmolândia,Norte,-7.033804,-48.39513
17,Tocantins,TO,1703891,Carrasco Bonito,Norte,-5.320573,-48.037667
17,Tocantins,TO,1703909,Caseara,Norte,-9.273159,-49.957684
17,Tocantins,TO,1704105,Centenário,Norte,-8.958689,-47.335518
