Ano,Região,UF,Código do Município,Nome do Município,Localização,Dependência Administrativa,Aprovação,Reprovação,Abandono
2016,Norte,AM,1303601,Santa Isabel do Rio Negro,Rural,Pública,92.6,0.0,7.4
2016,Norte,AM,1303700,Santo Antônio do Içá,Rural,Pública,88.5,11.3,0.2
2016,Norte,AM,1303809,São Gabriel da Cachoeira,Rural,Pública,81.9,2.2,15.9
2016,Norte,AM,1303908,São Paulo de Olivença,Rural,Pública,91.6,2.2,6.2
2016,Norte,AM,1303957,São Sebastião do Uatumã,Rural,Pública,94.5,3.9,1.6
2016,Norte,AM,1304005,Silves,Rural,Pública,79.8,7.9,12.3
2016,Norte,AM,1304062,Tabatinga,Rural,Pública,81.6,0.6,17.8
2016,Norte,AM,1304104,Tapauá,Rural,Pública,91.6,7.2,1.2
2016,Norte,AM,1304203,Tefé,Rural,Pública,84.2,2.0,13.8
2016,Norte,AM,1304237,Tonantins,Rural,Pública,83.0,4.7,12.3
2016,Norte,AM,1304260,Uarini,Rural,Pública,77.0,23.0,0.0
2016,Norte,AM,1304302,Urucará,Rural,Pública,87.9,0.9,11.2
2016,Norte,AM,1304401,Urucurituba,Rural,Pública,91.3,6.4,2.3
2016,Norte,RR,1400027,Amajari,Rural,Pública,74.3,10.9,14.8
2016,Norte,RR,1400050,Alto Alegre,Rural,Pública,86.8,5.0,8.2
2016,Norte,RR,1400100,Boa Vista,Rural,Pública,82.2,12.2,5.6
2016,Norte,RR,1400159,Bonfim,Rural,Pública,85.9,6.3,7.8
2016,Norte,RR,1400175,Cantá,Rural,Pública,86.5,3.1,10.4
2016,Norte,RR,1400209,Caracaraí,Rural,Pública,93.3,3.9,2.8
2016,Norte,RR,1400233,Caroebe,Rural,Pública,82.7,10.5,6.8
2016,Norte,RR,1400282,Iracema,Rural,Pública,83.5,6.6,9.9
2016,Norte,RR,1400308,Mucajaí,Rural,Pública,82.1,9.2,8.7
2016,Norte,RR,1400407,Normandia,Rural,Pública,80.2,4.6,15.2
2016,Norte,RR,1400456,Pacaraima,Rural,Pública,82.9,6.7,10.4
2016,Norte,RR,1400472,Rorainópolis,Rural,Pública,88.8,5.3,5.9
2016,Norte,RR,1400506,São João da Baliza,Rural,Pública,84.2,0.0,15.8
2016,Norte,RR,1400605,São Luiz,Rural,Pública,96.4,0.0,3.6
2016,Norte,RR,1400704,Uiramutã,Rural,Pública,85.8,4.8,9.4
2016,Norte,PA,1500107,Abaetetuba,Rural,Pública,80.2,5.9,13.9
2016,Norte,PA,1500131,Abel Figueiredo,Rural,Pública,--,--,--
2016,Norte,PA,1500206,Acará,Rural,Pública,62.6,5.4,32.0
2016,Norte,PA,1500305,Afuá,Rural,Pública,--,--,--
2016,Norte,PA,1500347,Água Azul do Norte,Rural,Pública,--,--,--
2016,Norte,PA,1500404,Alenquer,Rural,Pública,--,--,--
2016,Norte,PA,1500503,Almeirim,Rural,Pública,--,--,--
2016,Norte,PA,1500602,Altamira,Rural,Pública,--,--,--
2016,Norte,PA,1500701,Anajás,Rural,Pública,--,--,--
2016,Norte,PA,1500800,Ananindeua,Rural,Pública,--,--,--
2016,Norte,PA,1500859,Anapu,Rural,Pública,--,--,--
2016,Norte,PA,1500909,Augusto Corrêa,Rural,Pública,66.8,15.2,18.0
2016,Norte,PA,1500958,Aurora do Pará,Rural,Pública,74.2,12.7,13.1
2016,Norte,PA,1501006,Aveiro,Rural,Pública,--,--,--
2016,Norte,PA,1501105,Bagre,Rural,Pública,--,--,--
2016,Norte,PA,1501204,Baião,Rural,Pública,--,--,--
2016,Norte,PA,1501253,Bannach,Rural,Pública,--,--,--
2016,Norte,PA,1501303,Barcarena,Rural,Pública,71.1,13.7,15.2
2016,Norte,PA,1501402,Belém,Rural,Pública,--,--,--
2016,Norte,PA,1501451,Belterra,Rural,Pública,--,--,--
2016,Norte,PA,1501501,Benevides,Rural,Pública,73.2,10.0,16.8
2016,Norte,PA,1501576,Bom Jesus do Tocantins,Rural,Pública,65.3,5.8,28.9
2016,Norte,PA,1501600,Bonito,Rural,Pública,--,--,--
2016,Norte,PA,1501709,Bragança,Rural,Pública,75.2,9.3,15.5
2016,Norte,PA,1501725,Brasil Novo,Rural,Pública,--,--,--
2016,Norte,PA,1501758,Brejo Grande do Araguaia,Rural,Pública,--,--,--
2016,Norte,PA,1501782,Breu Branco,Rural,Pública,63.9,1.5,34.6
2016,Norte,PA,1501808,Breves,Rural,Pública,--,--,--
2016,Norte,PA,1501907,Bujaru,Rural,Pública,88.1,1.7,10.2
2016,Norte,PA,1501956,Cachoeira do Piriá,Rural,Pública,74.4,3.4,22.2
2016,Norte,PA,1502004,Cachoeira do Arari,Rural,Pública,73.8,4.1,22.1
2016,Norte,PA,1502103,Cametá,Rural,Pública,76.5,5.6,17.9
2016,Norte,PA,1502152,Canaã dos Carajás,Rural,Pública,--,--,--
2016,Norte,PA,1502202,Capanema,Rural,Pública,79.1,3.2,17.7
2016,Norte,PA,1502301,Capitão Poço,Rural,Pública,92.4,1.0,6.6
2016,Norte,PA,1502400,Castanhal,Rural,Pública,74.1,10.3,15.6
2016,Norte,PA,1502509,Chaves,Rural,Pública,--,--,--
2016,Norte,PA,1502608,Colares,Rural,Pública,82.7,1.3,16.0
2016,Norte,PA,1502707,Conceição do Araguaia,Rural,Pública,--,--,--
2016,Norte,PA,1502756,Concórdia do Pará,Rural,Pública,--,--,--
2016,Norte,PA,1502764,Cumaru do Norte,Rural,Pública,--,--,--
2016,Norte,PA,1502772,Curionópolis,Rural,Pública,--,--,--
2016,Norte,PA,1502806,Curralinho,Rural,Pública,--,--,--
2016,Norte,PA,1502855,Curuá,Rural,Pública,--,--,--
2016,Norte,PA,1502905,Curuçá,Rural,Pública,59.8,9.6,30.6
2016,Norte,PA,1502939,Dom Eliseu,Rural,Pública,--,--,--
2016,Norte,PA,1502954,Eldorado dos Carajás,Rural,Pública,--,--,--
2016,Norte,PA,1503002,Faro,Rural,Pública,--,--,--
2016,Norte,PA,1503044,Floresta do Araguaia,Rural,Pública,--,--,--
2016,Norte,PA,1503077,Garrafão do Norte,Rural,Pública,80.0,1.2,18.8
2016,Norte,PA,1503093,Goianésia do Pará,Rural,Pública,--,--,--
2016,Norte,PA,1503101,Gurupá,Rural,Pública,--,--,--
2016,Norte,PA,1503200,Igarapé-Açu,Rural,Pública,76.2,10.2,13.6
2016,Norte,PA,1503309,Igarapé-Miri,Rural,Pública,--,--,--
2016,Norte,PA,1503408,Inhangapi,Rural,Pública,--,--,--
2016,Norte,PA,1503457,Ipixuna do Pará,Rural,Pública,--,--,--
2016,Norte,PA,1503507,Irituia,Rural,Pública,72.9,12.8,14.3
2016,Norte,PA,1503606,Itaituba,Rural,Pública,85.4,0.0,14.6
2016,Norte,PA,1503705,Itupiranga,Rural,Pública,76.8,4.5,18.7
2016,Norte,PA,1503754,Jacareacanga,Rural,Pública,--,--,--
2016,Norte,PA,1503804,Jacundá,Rural,Pública,65.0,6.0,29.0
2016,Norte,PA,1503903,Juruti,Rural,Pública,86.0,4.5,9.5
2016,Norte,PA,1504000,Limoeiro do Ajuru,Rural,Pública,--,--,--
2016,Norte,PA,1504059,Mãe do Rio,Rural,Pública,--,--,--
2016,Norte,PA,1504109,Magalhães Barata,Rural,Pública,--,--,--
2016,Norte,PA,1504208,Marabá,Rural,Pública,93.2,2.1,4.7
2016,Norte,PA,1504307,Maracanã,Rural,Pública,70.2,10.4,19.4
2016,Norte,PA,1504406,Marapanim,Rural,Pública,67.2,12.3,20.5
2016,Norte,PA,1504422,Marituba,Rural,Pública,--,--,--
2016,Norte,PA,1504455,Medicilândia,Rural,Pública,--,--,--
2016,Norte,PA,1504505,Melgaço,Rural,Pública,--,--,--
2016,Norte,PA,1504604,Mocajuba,Rural,Pública,--,--,--
2016,Norte,PA,1504703,Moju,Rural,Pública,--,--,--
2016,Norte,PA,1504752,Mojuí dos Campos,Rural,Pública,--,--,--
2016,Norte,PA,1504802,Monte Alegre,Rural,Pública,--,--,--
2016,Norte,PA,1504901,Muaná,Rural,Pública,--,--,--
2016,Norte,PA,1504950,Nova Esperança do Piriá,Rural,Pública,--,--,--
2016,Norte,PA,1504976,Nova Ipixuna,Rural,Pública,--,--,--
2016,Norte,PA,1505007,Nova Timboteua,Rural,Pública,--,--,--
2016,Norte,PA,1505031,Novo Progresso,Rural,Pública,--,--,--
2016,Norte,PA,1505064,Novo Repartimento,Rural,Pública,--,--,--
2016,Norte,PA,1505106,Óbidos,Rural,Pública,--,--,--
2016,Norte,PA,1505205,Oeiras do Pará,Rural,Pública,--,--,--
2016,Norte,PA,1505304,Oriximiná,Rural,Pública,--,--,--
2016,Norte,PA,1505403,Ourém,Rural,Pública,81.7,1.6,16.7
2016,Norte,PA,1505437,Ourilândia do Norte,Rural,Pública,--,--,--
2016,Norte,PA,1505486,Pacajá,Rural,Pública,79.6,2.0,18.4
2016,Norte,PA,1505494,Palestina do Pará,Rural,Pública,--,--,--
2016,Norte,PA,1505502,Paragominas,Rural,Pública,--,--,--
2016,Norte,PA,1505536,Parauapebas,Rural,Pública,70.1,20.7,9.2
2016,Norte,PA,1505551,Pau D'Arco,Rural,Pública,--,--,--
2016,Norte,PA,1505601,Peixe-Boi,Rural,Pública,--,--,--
2016,Norte,PA,1505635,Piçarra,Rural,Pública,--,--,--
2016,Norte,PA,1505650,Placas,Rural,Pública,--,--,--
2016,Norte,PA,1505700,Ponta de Pedras,Rural,Pública,73.5,12.4,14.1
2016,Norte,PA,1505809,Portel,Rural,Pública,--,--,--
2016,Norte,PA,1505908,Porto de Moz,Rural,Pública,--,--,--
2016,Norte,PA,1506005,Prainha,Rural,Pública,--,--,--
2016,Norte,PA,1506104,Primavera,Rural,Pública,--,--,--
2016,Norte,PA,1506112,Quatipuru,Rural,Pública,78.1,7.3,14.6
2016,Norte,PA,1506138,Redenção,Rural,Pública,--,--,--
2016,Norte,PA,1506161,Rio Maria,Rural,Pública,--,--,--
2016,Norte,PA,1506187,Rondon do Pará,Rural,Pública,--,--,--
2016,Norte,PA,1506195,Rurópolis,Rural,Pública,--,--,--
2016,Norte,PA,1506203,Salinópolis,Rural,Pública,--,--,--
2016,Norte,PA,1506302,Salvaterra,Rural,Pública,--,--,--
2016,Norte,PA,1506351,Santa Bárbara do Pará,Rural,Pública,72.0,14.0,14.0
2016,Norte,PA,1506401,Santa Cruz do Arari,Rural,Pública,77.6,0.0,22.4
2016,Norte,PA,1506500,Santa Izabel do Pará,Rural,Pública,81.6,1.9,16.5
2016,Norte,PA,1506559,Santa Luzia do Pará,Rural,Pública,--,--,--
2016,Norte,PA,1506583,Santa Maria das Barreiras,Rural,Pública,--,--,--
2016,Norte,PA,1506609,Santa Maria do Pará,Rural,Pública,89.7,0.0,10.3
2016,Norte,PA,1506708,Santana do Araguaia,Rural,Pública,--,--,--
2016,Norte,PA,1506807,Santarém,Rural,Pública,95.7,2.0,2.3
2016,Norte,PA,1506906,Santarém Novo,Rural,Pública,--,--,--
2016,Norte,PA,1507003,Santo Antônio do Tauá,Rural,Pública,--,--,--
2016,Norte,PA,1507102,São Caetano de Odivelas,Rural,Pública,--,--,--
2016,Norte,PA,1507151,São Domingos do Araguaia,Rural,Pública,--,--,--
2016,Norte,PA,1507201,São Domingos do Capim,Rural,Pública,--,--,--
2016,Norte,PA,1507300,São Félix do Xingu,Rural,Pública,--,--,--
2016,Norte,PA,1507409,São Francisco do Pará,Rural,Pública,--,--,--
2016,Norte,PA,1507458,São Geraldo do Araguaia,Rural,Pública,78.8,3.1,18.1
2016,Norte,PA,1507466,São João da Ponta,Rural,Pública,--,--,--
2016,Norte,PA,1507474,São João de Pirabas,Rural,Pública,--,--,--
2016,Norte,PA,1507508,São João do Araguaia,Rural,Pública,77.4,3.4,19.2
2016,Norte,PA,1507607,São Miguel do Guamá,Rural,Pública,--,--,--
2016,Norte,PA,1507706,São Sebastião da Boa Vista,Rural,Pública,--,--,--
2016,Norte,PA,1507755,Sapucaia,Rural,Pública,--,--,--
2016,Norte,PA,1507805,Senador José Porfírio,Rural,Pública,--,--,--
2016,Norte,PA,1507904,Soure,Rural,Pública,--,--,--
2016,Norte,PA,1507953,Tailândia,Rural,Pública,57.2,18.4,24.4
2016,Norte,PA,1507961,Terra Alta,Rural,Pública,73.4,22.6,4.0
2016,Norte,PA,1507979,Terra Santa,Rural,Pública,--,--,--
2016,Norte,PA,1508001,Tomé-Açu,Rural,Pública,--,--,--
2016,Norte,PA,1508035,Tracuateua,Rural,Pública,76.1,11.7,12.2
2016,Norte,PA,1508050,Trairão,Rural,Pública,--,--,--
2016,Norte,PA,1508084,Tucumã,Rural,Pública,--,--,--
2016,Norte,PA,1508100,Tucuruí,Rural,Pública,--,--,--
2016,Norte,PA,1508126,Ulianópolis,Rural,Pública,--,--,--
2016,Norte,PA,1508159,Uruará,Rural,Pública,--,--,--
2016,Norte,PA,1508209,Vigia,Rural,Pública,75.1,3.0,21.9
2016,Norte,PA,1508308,Viseu,Rural,Pública,--,--,--
2016,Norte,PA,1508357,Vitória do Xingu,Rural,Pública,--,--,--
2016,Norte,PA,1508407,Xinguara,Rural,Pública,63.4,6.8,29.8
2016,Norte,AP,1600055,Serra do Navio,Rural,Pública,82.7,0.6,16.7
2016,Norte,AP,1600105,Amapá,Rural,Pública,--,--,--
2016,Norte,AP,1600154,Pedra Branca do Amapari,Rural,Pública,94.9,2.6,2.5
2016,Norte,AP,1600204,Calçoene,Rural,Pública,67.4,13.8,18.8
2016,Norte,AP,1600212,Cutias,Rural,Pública,65.1,13.8,21.1
2016,Norte,AP,1600238,Ferreira Gomes,Rural,Pública,--,--,--
2016,Norte,AP,1600253,Itaubal,Rural,Pública,66.9,9.7,23.4
2016,Norte,AP,1600279,Laranjal do Jari,Rural,Pública,--,--,--
2016,Norte,AP,1600303,Macapá,Rural,Pública,73.8,13.0,13.2
2016,Norte,AP,1600402,Mazagão,Rural,Pública,76.4,10.7,12.9
2016,Norte,AP,1600501,Oiapoque,Rural,Pública,92.9,0.0,7.1
2016,Norte,AP,1600535,Porto Grande,Rural,Pública,63.3,8.3,28.4
2016,Norte,AP,1600550,Pracuúba,Rural,Pública,82.1,6.0,11.9
2016,Norte,AP,1600600,Santana,Rural,Pública,75.8,8.3,15.9
2016,Norte,AP,1600709,Tartarugalzinho,Rural,Pública,79.2,3.1,17.7
2016,Norte,AP,1600808,Vitória do Jari,Rural,Pública,79.5,20.5,0.0
2016,Norte,TO,1700251,Abreulândia,Rural,Pública,--,--,--
2016,Norte,TO,1700301,Aguiarnópolis,Rural,Pública,--,--,--
2016,Norte,TO,1700400,Almas,Rural,Pública,94.7,2.1,3.2
