Código_IBGE,Ano,Populacao,Magreza_total_%,PIB,Poverty_%,Unemployed_%
3159506,2020,5457,1.98,32066.73,17.06,12.475
3155900,2020,5485,6.5,32066.73,17.06,12.475
3150901,2020,5488,2.83,32066.73,17.06,12.475
3112653,2020,5514,2.81,32066.73,17.06,12.475
3167707,2020,5514,2.4,32066.73,17.06,12.475
3117603,2020,5533,1.37,32066.73,17.06,12.475
3110103,2020,5541,0.0,32066.73,17.06,12.475
3141702,2020,5546,8.21,32066.73,17.06,12.475
3141702,2020,5546,4.890000000000001,32066.73,17.06,12.475
3164407,2020,5552,5.51,32066.73,17.06,12.475
3129103,2020,5577,4.430000000000001,32066.73,17.06,12.475
3111903,2020,5594,4.08,32066.73,17.06,12.475
3160959,2020,5658,4.28,32066.73,17.06,12.475
3116001,2020,5699,3.94,32066.73,17.06,12.475
3136959,2020,5715,3.99,32066.73,17.06,12.475
3148202,2020,5715,6.36,32066.73,17.06,12.475
3171071,2020,5727,0.0,32066.73,17.06,12.475
3105301,2020,5778,1.3,32066.73,17.06,12.475
3166006,2020,5786,7.15,32066.73,17.06,12.475
3156502,2020,5798,5.63,32066.73,17.06,12.475
3126802,2020,5869,4.58,32066.73,17.06,12.475
3155306,2020,5879,0.0,32066.73,17.06,12.475
3102050,2020,5894,2.0,32066.73,17.06,12.475
3152600,2020,5900,2.78,32066.73,17.06,12.475
3146206,2020,5914,4.78,32066.73,17.06,12.475
3162575,2020,5918,1.76,32066.73,17.06,12.475
3101201,2020,5976,4.35,32066.73,17.06,12.475
3120300,2020,5982,1.85,32066.73,17.06,12.475
3143807,2020,5994,1.37,32066.73,17.06,12.475
3134301,2020,6000,5.3100000000000005,32066.73,17.06,12.475
3147956,2020,6002,3.07,32066.73,17.06,12.475
3122405,2020,6025,1.18,32066.73,17.06,12.475
3134103,2020,6063,3.13,32066.73,17.06,12.475
3146552,2020,6094,7.970000000000001,32066.73,17.06,12.475
3107703,2020,6133,5.109999999999999,32066.73,17.06,12.475
3127503,2020,6171,4.14,32066.73,17.06,12.475
3145455,2020,6171,3.92,32066.73,17.06,12.475
3167806,2020,6189,2.84,32066.73,17.06,12.475
3167400,2020,6248,3.29,32066.73,17.06,12.475
3115458,2020,6257,3.08,32066.73,17.06,12.475
3138674,2020,6258,3.85,32066.73,17.06,12.475
3161304,2020,6274,6.66,32066.73,17.06,12.475
3108503,2020,6288,4.34,32066.73,17.06,12.475
3169109,2020,6297,2.35,32066.73,17.06,12.475
3169109,2020,6297,2.65,32066.73,17.06,12.475
3131000,2020,6312,3.26,32066.73,17.06,12.475
3150703,2020,6348,3.6,32066.73,17.06,12.475
3165503,2020,6361,1.96,32066.73,17.06,12.475
3119955,2020,6382,2.29,32066.73,17.06,12.475
3157658,2020,6386,3.95,32066.73,17.06,12.475
3150604,2020,6398,2.65,32066.73,17.06,12.475
3146255,2020,6423,0.0,32066.73,17.06,12.475
3168903,2020,6424,5.56,32066.73,17.06,12.475
3163508,2020,6431,3.37,32066.73,17.06,12.475
3141504,2020,6446,1.98,32066.73,17.06,12.475
3107505,2020,6459,1.39,32066.73,17.06,12.475
3170578,2020,6470,1.66,32066.73,17.06,12.475
3138104,2020,6503,3.46,32066.73,17.06,12.475
3161205,2020,6520,3.31,32066.73,17.06,12.475
3161205,2020,6520,0.0,32066.73,17.06,12.475
3139250,2020,6554,6.63,32066.73,17.06,12.475
3128600,2020,6569,4.73,32066.73,17.06,12.475
3129202,2020,6591,0.0,32066.73,17.06,12.475
3130408,2020,6610,0.0,32066.73,17.06,12.475
3146701,2020,6611,0.64,32066.73,17.06,12.475
3122900,2020,6619,6.08,32066.73,17.06,12.475
3164472,2020,6627,2.8,32066.73,17.06,12.475
3138682,2020,6718,3.43,32066.73,17.06,12.475
3120151,2020,6760,2.87,32066.73,17.06,12.475
3169505,2020,6765,5.180000000000001,32066.73,17.06,12.475
3149952,2020,6773,4.64,32066.73,17.06,12.475
3117009,2020,6774,5.08,32066.73,17.06,12.475
