Ano,Código_IBGE,Aprovação,Reprovação,Abandono,Matrículas,Docentes,Estabelecimentos,Turmas
2008,1501758,78.4,2.9,18.7,314, 13 ,1,13
2008,1501782,76.9,2.8,20.3,1055, 33 ,2,28
2008,1501808,76.2,8.1,15.7,2799, 57 ,4,70
2008,1501907,65.4,11.5,23.1,1154, 53 ,1,41
2008,1501956,66.6,6.6,26.8,602, 18 ,1,19
2008,1502004,71.8,3.6,24.6,439, 16 ,1,11
2008,1502103,67.7,10.1,22.2,5469, 133 ,4,177
2008,1502152,63.6,5.9,30.5,941, 38 ,2,37
2008,1502202,72.7,10.1,17.2,3529, 128 ,7,109
2008,1502301,77.4,6.6,16,1358, 71 ,4,39
2008,1502400,63.3,12.4,24.3,9588, 333 ,14,240
2008,1502509,81.4,18.6,0,147, 6 ,1,5
2008,1502608,78.1,14.3,7.6,600, 24 ,1,17
2008,1502707,65.2,3.2,31.6,2013, 89 ,4,65
2008,1502756,60.3,13.5,26.2,1337, 46 ,2,37
2008,1502764,70.4,6.7,22.9,182, 8 ,1,10
2008,1502772,64.4,4,31.6,938, 27 ,2,22
2008,1502806,64.8,15.4,19.8,756, 27 ,1,24
2008,1502855,84.7,3.4,11.9,548, 12 ,1,24
2008,1502905,66.5,10.4,23.1,1623, 37 ,2,39
2008,1502939,52,14.2,33.8,1900, 42 ,1,49
2008,1502954,70.2,2,27.8,900, 35 ,2,32
2008,1503002,75,10.7,14.3,272, 17 ,1,8
2008,1503044,71.6,4.9,23.5,591, 28 ,1,29
2008,1503077,73,10.4,16.6,587, 11 ,1,17
2008,1503093,71.4,8.9,19.7,1427, 34 ,1,42
2008,1503101,76.6,4.6,18.8,763, 14 ,1,20
2008,1503200,62,13.7,24.3,1279, 55 ,2,46
2008,1503309,76.3,7.8,15.9,2336, 54 ,2,83
2008,1503408,74.9,10.7,14.4,388, 13 ,1,11
2008,1503457,70.4,7.8,21.8,750, 26 ,1,21
2008,1503507,72.8,5.3,21.9,607, 37 ,1,19
2008,1503606,58.1,12,29.9,4202, 104 ,6,126
2008,1503705,80.5,2.5,17,1099, 21 ,1,31
2008,1503754,78.7,3.4,17.9,342, 6 ,1,8
