Ano,Código_IBGE,Aprovação_Rural,Aprovação_Urbana,Reprovação_Rural,Reprovação_Urbana,Abandono_Rural,Abandono_Urbana,Matrículas_Rural,Matrículas_Urbana,Docentes_Rural,Docentes_Urbana,Estabelecimentos_Rural,Estabelecimentos_Urbana,Turmas_Rural,Turmas_Urbana
2008,1600279,67.9,66.4,0,5.4,32.1,28.2,86,2165, 3 , 83 ,1,2,3,61
2008,1600303,70.5,66.2,10.5,15,19,18.8,1016,17794, 68 , 808 ,12,24,46,534
2008,1600402,87.3,90,2.2,3.3,10.5,6.7,148,627, 13 , 18 ,4,1,9,16
2008,1600501,84.6,66,0,12.9,15.4,21.1,13,1089, 1 , 35 ,1,1,1,32
2008,1600535,29.4,59.7,19.6,11.4,51,28.9,51,885, 3 , 26 ,1,1,2,21
2008,1600550,68.6,33.6,0,64.8,31.4,1.6,75,132, 3 , 4 ,1,1,3,4
2008,1600600,78,68.8,1.6,13.6,20.4,17.6,329,5572, 27 , 267 ,3,9,12,173
2008,1600709,76.3,53.9,3.4,16.6,20.3,29.5,71,464, 6 , 17 ,2,1,6,12
2008,1600808,78.3,96,0,0.4,21.7,3.6,25,480, 4 , 14 ,1,1,3,15
2008,1701002,84.4,82.5,6.7,5.2,8.9,12.3,47,575, 6 , 17 ,1,1,3,19
2008,1702208,84.2,82.2,13.7,10.8,2.1,7,620,1103, 40 , 46 ,5,2,25,36
2008,1702406,87.1,63.4,8.9,15.1,4,21.5,105,434, 14 , 21 ,2,1,5,12
2008,1703073,90.5,92.9,5.3,4.4,4.2,2.7,96,124, 9 , 11 ,1,1,5,5
2008,1703800,94.5,86.5,5.5,9.9,0,3.6,104,449, 10 , 17 ,2,1,6,15
2008,1703891,86,91.3,4,3.1,10,5.6,54,166, 3 , 10 ,1,1,3,6
2008,1706001,95.2,86.1,0,6.6,4.8,7.3,25,172, 2 , 11 ,1,1,1,6
2008,1707009,91.7,73.3,8.3,7.5,0,19.2,25,1013, 8 , 55 ,1,2,3,32
2008,1707405,89.1,94.2,6.5,4,4.4,1.8,198,289, 10 , 12 ,1,1,9,9
2008,1708205,53,88,1.2,4.3,45.8,7.7,84,760, 11 , 36 ,2,2,6,24
2008,1710508,100,95.2,0,2.4,0,2.4,31,371, 1 , 18 ,1,1,1,11
2008,1711902,69,72.2,1.4,9.2,29.6,18.6,72,311, 11 , 16 ,2,1,6,9
2008,1713601,85.7,86.7,1,11.4,13.3,1.9,101,180, 7 , 12 ,1,1,5,8
2008,1714302,75,88.6,6.3,0.7,18.7,10.7,134,148, 12 , 13 ,2,1,6,6
2008,1716208,89.6,81.2,1.3,8.6,9.1,10.2,79,335, 6 , 19 ,2,1,5,11
2008,1716505,92.7,81.5,2.4,7.7,4.9,10.8,49,775, 6 , 35 ,2,2,5,27
2008,1716604,72.4,73.7,12.9,13.1,14.7,13.2,125,305, 5 , 14 ,1,1,5,9
2008,1717800,100,82.8,0,8.6,0,8.6,24,170, 2 , 13 ,1,1,1,6
2008,1718204,89.2,83.2,2.8,7.5,8,9.3,298,2495, 36 , 100 ,3,6,15,81
2008,1718758,92,85.6,0,3.9,8,10.5,25,188, 4 , 14 ,1,1,3,8
2008,1718840,90,87.2,0,2.6,10,10.2,24,165, 8 , 13 ,1,1,3,6
2008,1718865,88.9,79.2,11.1,9.2,0,11.6,18,320, 5 , 16 ,1,1,3,11
2008,1720101,82.9,85.5,7.3,7.6,9.8,6.9,44,174, 5 , 15 ,1,1,3,7
2008,1720200,73,86.3,9.7,4.4,17.3,9.3,275,186, 16 , 14 ,1,1,9,7
2008,1720804,89.9,77.6,7.6,11.2,2.5,11.2,126,397, 7 , 20 ,2,1,6,13
2008,1720903,81.8,67,3.6,17,14.6,16,54,411, 8 , 18 ,1,1,3,14
