Ano,Código_IBGE,Aprovação,Reprovação,Abandono,Matrículas,Docentes,Estabelecimentos,Turmas
2008,2108256,86.7,8.1,5.2,406, 21 ,4,16
2008,2108306,75,5.1,19.9,197, 12 ,2,7
2008,2108405,67.1,0,32.9,74, 5 ,1,3
2008,2108454,75.8,0.3,23.9,405, 19 ,2,10
2008,2108504,71.6,9,19.4,408, 21 ,3,12
2008,2108603,74.7,3.6,21.7,1607, 53 ,11,43
2008,2108900,83.1,1.5,15.4,476, 48 ,4,29
2008,2109056,72.9,17.1,10,130, 5 ,1,4
2008,2109106,87.4,3.1,9.5,296, 18 ,2,10
2008,2109205,85.6,2.1,12.3,155, 10 ,2,6
2008,2109270,66.7,1.6,31.7,256, 6 ,1,6
2008,2109452,75.7,4.8,19.5,1071, 45 ,1,24
2008,2109502,70.8,8.1,21.1,164, 10 ,2,6
2008,2109551,85.2,10.2,4.6,113, 9 ,2,6
2008,2109601,71.7,5.9,22.4,325, 20 ,3,11
2008,2109809,73.4,3.8,22.8,189, 14 ,2,6
2008,2109908,70,8.8,21.2,578, 41 ,5,17
2008,2110005,69.2,3.3,27.5,947, 34 ,6,30
2008,2110104,86.2,0,13.8,116, 15 ,1,6
2008,2110203,81.8,5.3,12.9,189, 13 ,1,6
2008,2110237,84.4,5.7,9.9,197, 9 ,1,5
2008,2110302,82.3,2.2,15.5,235, 13 ,2,8
2008,2110609,78.6,0.9,20.5,668, 55 ,7,30
2008,2110658,82.1,0,17.9,65, 5 ,1,3
2008,2110708,79.2,4.7,16.1,282, 10 ,1,6
2008,2110807,83.3,6.3,10.4,52, 4 ,1,3
2008,2110856,64.5,8.2,27.3,115, 5 ,1,3
2008,2110906,76.6,13.1,10.3,150, 9 ,2,6
2008,2111029,99.3,0.7,0,147, 13 ,3,7
2008,2111078,63.9,7.8,28.3,167, 20 ,2,6
2008,2111102,0,100,0,0, -   ,0,0
2008,2111201,75.4,4.4,20.2,1423, 81 ,5,42
2008,2111300,69.7,10.8,19.5,3442, 176 ,11,89
2008,2111532,67.4,0,32.6,45, 4 ,1,3
2008,2111631,65.7,9.7,24.6,141, 9 ,2,6
2008,2111672,100,0,0,38, 3 ,1,2
2008,2111706,61.2,2.6,36.2,212, 20 ,2,12
2008,2111763,67.9,3.6,28.5,421, 21 ,2,12
2008,2111789,84.7,0,15.3,98, 8 ,1,3
2008,2111805,76.5,0,23.5,85, 6 ,1,3
2008,2111904,77.8,12.7,9.5,161, 18 ,2,6
2008,2112100,82.8,0,17.2,29, 4 ,1,1
2008,2112209,87.7,2.7,9.6,325, 14 ,3,7
2008,2112233,83,0,17,107, 8 ,1,3
2008,2112274,94,0,6,95, 6 ,1,3
2008,2112308,77.5,3.7,18.8,454, 21 ,4,14
2008,2112407,76.2,1,22.8,847, 39 ,7,28
2008,2112456,75.7,5.4,18.9,150, 4 ,1,5
2008,2112506,76.5,5.2,18.3,1510, 97 ,11,53
2008,2112605,94.2,0,5.8,231, 10 ,3,9
2008,2112704,87.6,1.2,11.2,210, 21 ,6,10
2008,2112803,73.5,0,26.5,246, 18 ,2,10
2008,2112852,85.7,5.3,9,139, 12 ,2,7
2008,2112902,71.9,0.4,27.7,783, 40 ,3,24
2008,2113009,75.4,3.8,20.8,250, 23 ,1,12
2008,2200251,79.5,2.4,18.1,87, 19 ,2,4
2008,2200509,75.8,3,21.2,77, 5 ,1,3
2008,2201051,43.5,21.7,34.8,23, 3 ,1,1
2008,2201101,84.4,11.1,4.5,48, 11 ,1,2
2008,2201200,72,7.2,20.8,425, 27 ,3,15
2008,2201606,73.8,6.5,19.7,113, 13 ,1,6
2008,2202000,63.3,11.8,24.9,175, 20 ,2,7
2008,2202075,72.7,0,27.3,11, 3 ,1,1
2008,2202307,27.8,66.7,5.5,18, 3 ,1,1
2008,2202406,87,5.6,7.4,55, 6 ,1,3
2008,2202752,75.4,3.1,21.5,70, 6 ,1,3
2008,2203230,72,3.4,24.6,122, 20 ,4,8
2008,2203503,98,0,2,51, 18 ,2,6
2008,2203701,70.6,2,27.4,367, 19 ,1,12
2008,2205003,89.7,0,10.3,111, 6 ,1,3
2008,2205276,86.5,4.5,9,97, 6 ,1,3
2008,2205508,77.8,6.8,15.4,119, 12 ,1,6
2008,2205524,73,0,27,100, 8 ,1,3
2008,2205573,71.9,0,28.1,33, 10 ,1,1
2008,2205706,84,0.3,15.7,309, 20 ,1,10
2008,2206209,86.3,1.4,12.3,447, 16 ,2,12
2008,2206605,92.5,5,2.5,40, 5 ,1,3
2008,2206654,83.1,0,16.9,60, 12 ,2,2
2008,2206803,90.1,9.9,0,73, 5 ,1,3
2008,2207009,84.7,3.3,12,290, 32 ,5,15
2008,2207603,89.1,3.6,7.3,56, 8 ,1,3
2008,2207702,28.6,28.6,42.8,14, 5 ,1,1
2008,2207777,73.4,9.2,17.4,119, 6 ,1,3
2008,2207900,55,16.5,28.5,249, 36 ,5,11
2008,2208304,67.3,0,32.7,164, 15 ,1,6
2008,2208403,84.3,0,15.7,159, 16 ,2,5
2008,2209203,82.1,3.6,14.3,28, 6 ,1,3
2008,2210003,85.4,2.5,12.1,290, 16 ,3,11
2008,2210656,92.9,0,7.1,145, 5 ,1,3
2008,2210805,86.3,1.4,12.3,73, 4 ,1,3
2008,2211001,65.7,6.7,27.6,3342, 168 ,12,90
2008,2211100,88.3,5.4,6.3,335, 13 ,2,11
2008,2211357,78.3,1.7,20,61, 6 ,1,3
2008,2301208,86.9,0,13.1,380, 18 ,2,13
2008,2301604,100,0,0,0, -   ,0,0
2008,2304202,79,13.4,7.6,359, 26 ,1,9
