UF,Município,Código IBGE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AL,Colônia Leopoldina,2702108,4965584.92,6226453.75,6981268.6,8116818.97,10690488.5,11284377.52,11863855.29,13581413.02,14505639.8,15288124.340000002,13544628.49,15188031.41,17886287.05,16128571.040000001,19714123.89,25094807.81,17539090.1
AL,Coqueiro Seco,2702207,1374846.68,1702586.85,2053937.18,2385518.44,3001044.41,3114620.07,3156032.59,3559683.94,4109056.18,4404070.0200000005,4341776.57,5177649.9,5554462.760000001,5229580.86,6656376.3,8764208.7,4887088.25
AL,Coruripe,2702306,13355208.73,17498564.68,19750366.64,22044687.57,29222020.29,30501121.67,31636052.53,36239868.56,41499370.06,45082573.39,42358602.91,48138396.839999996,52136772.26,51075863.5,71464779.36,103824750.92999999,62268699.29
AL,Craíbas,2702355,6361760.88,7728101.649999999,8666108.23,9868185.35,13087890.17,13932566.450000001,15032090.24,15881171.780000001,16749788.77,18571887.32,18010165.62,22417503.72,24812705.09,23198387.27,28620613.86,43633271.05,30425104.34
AL,Delmiro Gouveia,2702405,9818342.379999999,11851442.07,13635617.16,14996427.28,19750171.63,20944983.85,22761034.35,25271139.73,28540749.83,30473553.15,27645041.53,34633004.17,37873505.269999996,38559955.46,56625776.62,66462605.2,38833661.93
AL,Dois Riachos,2702504,2877171.05,3666451.33,4511903.4399999995,5327139.84,7182058.85,7913184.909999999,8753493.24,9291149.79,11276448.16,12651363.59,11720003.959999999,12095936.97,13446881.68,12910350.83,17022682.03,22130859.009999998,12644149.64
AL,Estrela de Alagoas,2702553,3989993.31,5105918.66,5871548.2299999995,6482708.25,8463808.97,8739335.139999999,9995437.66,11378150.07,12034145.45,12978617.24,11132121.379999999,13242451.629999999,14648446.81,13964279.51,17939035.2,23819773.14,14593223.12
AL,Feira Grande,2702603,4889810.89,6508888.46,7516388.449999999,8087130.390000001,10908346.59,11948439.33,13209072.14,14805664.53,16894643.79,18307976.26,16530853.89,19701660.22,21741511.74,20633708.55,27397254.97,38403679.5,21736383.259999998
AL,Feliz Deserto,2702702,1129848.35,1564042.81,1797277.5,1982462.3,2605797.61,2499091.8400000003,2848146.72,2918116.6,3217402.04,3378667.95,3106689.32,3763762.18,4207571.3100000005,4136472.5100000002,5817925.06,7003913.07,4040742.6599999997
AL,Flexeiras,2702801,3665735.8000000003,4720554.94,5523909.21,6063624.38,8018647.97,8059199.97,8793062.02,10019828.549999999,11185990.540000001,11775504.44,10954149.940000001,12393395.19,12507922.64,11345136.7,13513543.99,16237429.94,10705203.99
AL,Girau do Ponciano,2702900,8953823.030000001,12072596.389999999,14762667.32,17978904.27,22835847.740000002,24174317.53,24494456.78,27468059.92,30726835.69,34409857.2,32104428.009999998,42469504.18,50886428.77,48593074.9,59394611.97,109649780.69000001,87376208.55
AL,Ibateguara,2703007,3129151.64,3861023.96,5327670.49,5941328.5600000005,7401006.58,7637382.27,8175014.18,9112100.85,10585898.67,11331976.9,10699767.68,12030483.56,12454640.65,12122094.0,16288966.52,20049766.09,13754751.39
AL,Igaci,2703106,5644781.81,7233422.4,7921248.779999999,8953203.37,11351726.17,11432512.62,12172297.28,14258096.959999999,16103362.360000001,17115451.29,15105346.45,17237362.240000002,18254793.349999998,17346396.72,22730868.79,30565698.759999998,20863449.37
