Código_UF,Estado,UF,Código_IBGE,Município,Região,Latitude,Longitude
26,Pernambuco,PE,2602803,Buíque,Nordeste,-8.623973,-37.157296
26,Pernambuco,PE,2602902,Cabo de Santo Agostinho,Nordeste,-8.283894,-35.032098
26,Pernambuco,PE,2603009,Cabrobó,Nordeste,-8.50837,-39.310696
26,Pernambuco,PE,2603108,Cachoeirinha,Nordeste,-8.490636,-36.233896
26,Pernambuco,PE,2603207,Caetés,Nordeste,-8.772879,-36.625584
26,Pernambuco,PE,2603306,Calçado,Nordeste,-8.741345,-36.335179
26,Pernambuco,PE,2603405,Calumbi,Nordeste,-7.939671,-38.152519
26,Pernambuco,PE,2603454,Camaragibe,Nordeste,-8.021383,-34.981077
26,Pernambuco,PE,2603504,Camocim de São Félix,Nordeste,-8.361676,-35.76389
26,Pernambuco,PE,2603603,Camutanga,Nordeste,-7.409296,-35.273817
26,Pernambuco,PE,2603702,Canhotinho,Nordeste,-8.876519,-36.197935
26,Pernambuco,PE,2603801,Capoeiras,Nordeste,-8.738679,-36.626811
26,Pernambuco,PE,2603900,Carnaíba,Nordeste,-7.805964,-37.794731
26,Pernambuco,PE,2603926,Carnaubeira da Penha,Nordeste,-8.319281,-38.743589
26,Pernambuco,PE,2604007,Carpina,Nordeste,-7.845915,-35.253886
26,Pernambuco,PE,2604106,Caruaru,Nordeste,-8.28297,-35.972285
26,Pernambuco,PE,2604155,Casinhas,Nordeste,-7.744698,-35.725092
26,Pernambuco,PE,2604205,Catende,Nordeste,-8.669528,-35.725142
26,Pernambuco,PE,2604304,Cedro,Nordeste,-8.280802,-35.945704
26,Pernambuco,PE,2604403,Chã de Alegria,Nordeste,-7.995941,-35.213464
26,Pernambuco,PE,2604502,Chã Grande,Nordeste,-8.238271,-35.457148
26,Pernambuco,PE,2604601,Condado,Nordeste,-7.587868,-35.09994
26,Pernambuco,PE,2604700,Correntes,Nordeste,-9.129558,-36.328744
26,Pernambuco,PE,2604809,Cortês,Nordeste,-8.472492,-35.54312
26,Pernambuco,PE,2604908,Cumaru,Nordeste,-8.006528,-35.699165
26,Pernambuco,PE,2605004,Cupira,Nordeste,-8.605315,-35.953037
26,Pernambuco,PE,2605103,Custódia,Nordeste,-8.08603,-37.640108
26,Pernambuco,PE,2605152,Dormentes,Nordeste,-8.441163,-40.766168
26,Pernambuco,PE,2605202,Escada,Nordeste,-8.362385,-35.236623
26,Pernambuco,PE,2605301,Exu,Nordeste,-7.515434,-39.722015
26,Pernambuco,PE,2605400,Feira Nova,Nordeste,-7.948147,-35.387168
26,Pernambuco,PE,2605459,Fernando de Noronha,Nordeste,-3.853277,-32.423559
26,Pernambuco,PE,2605509,Ferreiros,Nordeste,-7.449667,-35.2426
26,Pernambuco,PE,2605608,Flores,Nordeste,-7.862025,-37.974281
26,Pernambuco,PE,2605707,Floresta,Nordeste,-8.59698,-38.574288
26,Pernambuco,PE,2605806,Frei Miguelinho,Nordeste,-7.943302,-35.920939
26,Pernambuco,PE,2605905,Gameleira,Nordeste,-8.579803,-35.384573
26,Pernambuco,PE,2606002,Garanhuns,Nordeste,-8.890589,-36.49309
26,Pernambuco,PE,2606101,Glória do Goitá,Nordeste,-7.999959,-35.286612
26,Pernambuco,PE,2606200,Goiana,Nordeste,-7.560603,-34.99591
