Ano,Região,UF,Código do Município,Nome do Município,Localização,Dependência Administrativa,Aprovação,Reprovação,Abandono
2022,Norte,PA,1502608,Colares,Rural,Pública,78.5,18.1,3.4
2022,Norte,PA,1502707,Conceição do Araguaia,Rural,Pública,--,--,--
2022,Norte,PA,1502756,Concórdia do Pará,Rural,Pública,--,--,--
2022,Norte,PA,1502764,Cumaru do Norte,Rural,Pública,65.5,26.7,7.8
2022,Norte,PA,1502772,Curionópolis,Rural,Pública,--,--,--
2022,Norte,PA,1502806,Curralinho,Rural,Pública,--,--,--
2022,Norte,PA,1502855,Curuá,Rural,Pública,--,--,--
2022,Norte,PA,1502905,Curuçá,Rural,Pública,86.8,4.7,8.5
2022,Norte,PA,1502939,Dom Eliseu,Rural,Pública,84.1,3.9,12.0
2022,Norte,PA,1502954,Eldorado do Carajás,Rural,Pública,--,--,--
2022,Norte,PA,1503002,Faro,Rural,Pública,--,--,--
2022,Norte,PA,1503044,Floresta do Araguaia,Rural,Pública,66.1,2.6,31.3
2022,Norte,PA,1503077,Garrafão do Norte,Rural,Pública,81.2,2.9,15.9
2022,Norte,PA,1503093,Goianésia do Pará,Rural,Pública,--,--,--
2022,Norte,PA,1503101,Gurupá,Rural,Pública,--,--,--
2022,Norte,PA,1503200,Igarapé-Açu,Rural,Pública,86.1,1.9,12.0
2022,Norte,PA,1503309,Igarapé-Miri,Rural,Pública,79.0,2.1,18.9
2022,Norte,PA,1503408,Inhangapi,Rural,Pública,92.1,0.0,7.9
2022,Norte,PA,1503457,Ipixuna do Pará,Rural,Pública,68.6,2.8,28.6
2022,Norte,PA,1503507,Irituia,Rural,Pública,67.7,17.3,15.0
2022,Norte,PA,1503606,Itaituba,Rural,Pública,71.5,5.0,23.5
2022,Norte,PA,1503705,Itupiranga,Rural,Pública,67.0,23.0,10.0
2022,Norte,PA,1503754,Jacareacanga,Rural,Pública,--,--,--
2022,Norte,PA,1503804,Jacundá,Rural,Pública,--,--,--
2022,Norte,PA,1503903,Juruti,Rural,Pública,75.7,1.5,22.8
2022,Norte,PA,1504000,Limoeiro do Ajuru,Rural,Pública,--,--,--
2022,Norte,PA,1504059,Mãe do Rio,Rural,Pública,--,--,--
2022,Norte,PA,1504109,Magalhães Barata,Rural,Pública,--,--,--
2022,Norte,PA,1504208,Marabá,Rural,Pública,70.6,2.4,27.0
2022,Norte,PA,1504307,Maracanã,Rural,Pública,--,--,--
2022,Norte,PA,1504406,Marapanim,Rural,Pública,75.0,6.2,18.8
2022,Norte,PA,1504422,Marituba,Rural,Pública,--,--,--
2022,Norte,PA,1504455,Medicilândia,Rural,Pública,--,--,--
2022,Norte,PA,1504505,Melgaço,Rural,Pública,--,--,--
2022,Norte,PA,1504604,Mocajuba,Rural,Pública,--,--,--
2022,Norte,PA,1504703,Moju,Rural,Pública,--,--,--
2022,Norte,PA,1504752,Mojuí dos Campos,Rural,Pública,--,--,--
2022,Norte,PA,1504802,Monte Alegre,Rural,Pública,82.7,4.3,13.0
2022,Norte,PA,1504901,Muaná,Rural,Pública,--,--,--
2022,Norte,PA,1504950,Nova Esperança do Piriá,Rural,Pública,--,--,--
2022,Norte,PA,1504976,Nova Ipixuna,Rural,Pública,--,--,--
2022,Norte,PA,1505007,Nova Timboteua,Rural,Pública,68.8,9.5,21.7
2022,Norte,PA,1505031,Novo Progresso,Rural,Pública,--,--,--
2022,Norte,PA,1505064,Novo Repartimento,Rural,Pública,80.9,10.7,8.4
2022,Norte,PA,1505106,Óbidos,Rural,Pública,--,--,--
2022,Norte,PA,1505205,Oeiras do Pará,Rural,Pública,--,--,--
2022,Norte,PA,1505304,Oriximiná,Rural,Pública,--,--,--
2022,Norte,PA,1505403,Ourém,Rural,Pública,84.5,1.6,13.9
2022,Norte,PA,1505437,Ourilândia do Norte,Rural,Pública,--,--,--
2022,Norte,PA,1505486,Pacajá,Rural,Pública,90.6,4.7,4.7
